X,CH1,CH2,Start,Increment,
Sequence,Volt,Volt,-1.200000e-03,2.000000e-06
0,2.40e-01,-2.00e-01,
1,8.00e-02,2.00e-01,
2,2.40e-01,2.00e-01,
3,8.00e-02,-2.00e-01,
4,1.60e-01,2.00e-01,
5,8.00e-02,-2.00e-01,
6,8.00e-02,2.00e-01,
7,2.40e-01,-2.00e-01,
8,8.00e-02,2.00e-01,
9,2.40e-01,-2.00e-01,
10,8.00e-02,2.00e-01,
11,2.40e-01,-2.00e-01,
12,8.00e-02,2.00e-01,
13,2.40e-01,-2.00e-01,
14,8.00e-02,2.00e-01,
15,2.40e-01,-2.00e-01,
16,2.40e-01,2.00e-01,
17,8.00e-02,-2.00e-01,
18,8.00e-02,2.00e-01,
19,2.40e-01,-2.00e-01,
20,2.40e-01,2.00e-01,
21,8.00e-02,-2.00e-01,
22,2.40e-01,2.00e-01,
23,8.00e-02,-2.00e-01,
24,2.40e-01,2.00e-01,
25,8.00e-02,-2.00e-01,
26,2.40e-01,2.00e-01,
27,8.00e-02,-2.00e-01,
28,2.40e-01,-2.00e-01,
29,8.00e-02,2.00e-01,
30,2.40e-01,2.00e-01,
31,8.00e-02,-2.00e-01,
32,2.40e-01,-2.00e-01,
33,8.00e-02,2.00e-01,
34,2.40e-01,2.00e-01,
35,8.00e-02,-2.00e-01,
36,2.40e-01,-2.00e-01,
37,8.00e-02,2.00e-01,
38,8.00e-02,-2.00e-01,
39,2.40e-01,2.00e-01,
40,2.40e-01,2.00e-01,
41,8.00e-02,-2.00e-01,
42,2.40e-01,2.00e-01,
43,8.00e-02,-2.00e-01,
44,8.00e-02,2.00e-01,
45,3.20e-01,-4.00e-01,
46,3.20e-01,-2.00e-01,
47,1.60e-01,2.00e-01,
48,1.60e-01,2.00e-01,
49,3.20e-01,-2.00e-01,
50,2.40e-01,2.00e-01,
51,1.60e-01,-2.00e-01,
52,2.40e-01,-2.00e-01,
53,8.00e-02,2.00e-01,
54,8.00e-02,2.00e-01,
55,1.60e-01,-2.00e-01,
56,8.00e-02,2.00e-01,
57,2.40e-01,-2.00e-01,
58,2.40e-01,2.00e-01,
59,8.00e-02,-2.00e-01,
60,2.40e-01,2.00e-01,
61,8.00e-02,-2.00e-01,
62,8.00e-02,2.00e-01,
63,2.40e-01,-2.00e-01,
64,2.40e-01,2.00e-01,
65,8.00e-02,-2.00e-01,
66,2.40e-01,2.00e-01,
67,8.00e-02,-2.00e-01,
68,2.40e-01,-2.00e-01,
69,8.00e-02,2.00e-01,
70,2.40e-01,2.00e-01,
71,8.00e-02,-2.00e-01,
72,2.40e-01,2.00e-01,
73,8.00e-02,-2.00e-01,
74,2.40e-01,-2.00e-01,
75,8.00e-02,2.00e-01,
76,2.40e-01,2.00e-01,
77,8.00e-02,-2.00e-01,
78,2.40e-01,2.00e-01,
79,8.00e-02,-2.00e-01,
80,2.40e-01,2.00e-01,
81,8.00e-02,-2.00e-01,
82,8.00e-02,2.00e-01,
83,2.40e-01,-2.00e-01,
84,2.40e-01,2.00e-01,
85,8.00e-02,-2.00e-01,
86,2.40e-01,2.00e-01,
87,8.00e-02,-2.00e-01,
88,8.00e-02,2.00e-01,
89,2.40e-01,-2.00e-01,
90,8.00e-02,2.00e-01,
91,2.40e-01,-2.00e-01,
